company_id,company_name,industry,region,ownership_type,supply_chain_role,relationship_stage,employees,revenue_twd_mn,export_ratio,digital_maturity,supply_chain_pressure,major_customer_pressure,transition_project,project_capex_twd_mn,expected_energy_saving_pct,expected_emission_reduction_tons,payback_years,ownership_years,customer_concentration,supplier_concentration,description
CMP_001,和食品物流001,食品加工,彰化,家族企業,出口導向供應商,前審中,936,1242.0858241999665,0.8040502943273337,0.7753944977262119,0.4065064087325897,品牌商,屋頂光電,105.84551593698241,0.31949419687760855,3762.9084868614013,5.842912711662482,24,0.32543278194225717,0.4638425679498176,和食品物流001 為 食品加工 企業，現階段主要關注「屋頂光電」專案，同時面臨 品牌商 帶來的減碳揭露與交期要求。
CMP_002,嘉精工股份002,金屬加工,高雄,家族企業,通路供應商,貸後追蹤中,1034,410.1754231904425,0.6179648072800932,0.8124335214520779,0.562715580877921,出口客戶,製程數位監控,25.73192261787105,0.10320105777891339,3987.0400125468404,5.421715641902212,21,0.7992062287578943,0.3220117220456542,嘉精工股份002 為 金屬加工 企業，現階段主要關注「製程數位監控」專案，同時面臨 出口客戶 帶來的減碳揭露與交期要求。
CMP_003,宏包材股份003,塑膠與包材,桃園,上市櫃企業,通路供應商,前審中,466,1316.3250632874551,0.2553665144491143,0.42925211825463766,0.6354229557355602,出口法規,循環材料導入,91.52982713860006,0.2930327443906563,4683.252124881707,3.4923832467629423,38,0.6167971225439842,0.2066465398377721,宏包材股份003 為 塑膠與包材 企業，現階段主要關注「循環材料導入」專案，同時面臨 出口法規 帶來的減碳揭露與交期要求。
CMP_004,華冷鏈材料004,冷鏈物流,台中,家族企業,OEM/ODM,前審中,972,479.8485340839287,0.7452779895517535,0.7555590225211395,0.773099227175801,量販通路,冷媒改善,178.75872563866557,0.1919069377200771,3313.1505290724,5.530993830046539,8,0.586219724800378,0.46321922840795743,華冷鏈材料004 為 冷鏈物流 企業，現階段主要關注「冷媒改善」專案，同時面臨 量販通路 帶來的減碳揭露與交期要求。
CMP_005,嘉食品實業005,食品加工,桃園,家族企業,出口導向供應商,前審中,686,915.5592373115215,0.12527062434571032,0.616397607431741,0.4787508036917175,零售通路,高效鍋爐,86.93047065283749,0.24533662412353063,3266.2239113921123,5.633050329174633,41,0.4400875913216451,0.6246926384929414,嘉食品實業005 為 食品加工 企業，現階段主要關注「高效鍋爐」專案，同時面臨 零售通路 帶來的減碳揭露與交期要求。
CMP_006,信電子能源006,電子零組件,台南,上市櫃企業,一階供應商,第三方導入,424,1118.1673075477493,0.17383924583602625,0.7906392038638346,0.6271263381508324,半導體客戶,PPA 綠電採購,108.3502003936382,0.14442338496140544,3685.216432640042,3.3537880969883083,20,0.23609594836230463,0.1931636593147195,信電子能源006 為 電子零組件 企業，現階段主要關注「PPA 綠電採購」專案，同時面臨 半導體客戶 帶來的減碳揭露與交期要求。
CMP_007,群精工精密007,金屬加工,台南,家族企業,一階供應商,前審中,1155,2927.570458308669,0.6737598497248146,0.512180676490307,0.9315058264086343,汽車供應鏈,高效馬達,236.1375871532412,0.1876173611534111,1237.5184466287174,3.0521657704135237,34,0.29313458108110824,0.6511008561372728,群精工精密007 為 金屬加工 企業，現階段主要關注「高效馬達」專案，同時面臨 汽車供應鏈 帶來的減碳揭露與交期要求。
CMP_008,華電子實業008,電子零組件,台南,家族企業,OEM/ODM,已送件待補件,609,4016.7456961925295,0.45431629261558504,0.7326583928284903,0.7004587813476413,國際品牌,製程節能,95.8159970215324,0.10046677288249313,671.4649753729954,4.573280689759645,22,0.2891794998636071,0.6935744733936142,華電子實業008 為 電子零組件 企業，現階段主要關注「製程節能」專案，同時面臨 國際品牌 帶來的減碳揭露與交期要求。
CMP_009,鼎包材實業009,塑膠與包材,新北,民營企業,通路供應商,前審中,711,1019.4249269743057,0.5845507030147618,0.36391036132811544,0.9251355279448672,零售通路,循環材料導入,244.76748146887078,0.22008385466530112,2788.359374045776,2.8416685806962256,40,0.5132303375817842,0.3921251053891289,鼎包材實業009 為 塑膠與包材 企業，現階段主要關注「循環材料導入」專案，同時面臨 零售通路 帶來的減碳揭露與交期要求。
CMP_010,富冷鏈物流010,冷鏈物流,新北,民營企業,二階供應商,第三方導入,458,185.6599318025452,0.8348518329086088,0.43555194428915256,0.6824216861234296,電商平台,冷凍機汰換,203.31863551982596,0.09016746486765104,5319.587754187117,2.6431555508323563,31,0.20394403595275504,0.46400853102271966,富冷鏈物流010 為 冷鏈物流 企業，現階段主要關注「冷凍機汰換」專案，同時面臨 電商平台 帶來的減碳揭露與交期要求。
CMP_011,盛電子股份011,電子零組件,桃園,外資背景,一階供應商,已送件待補件,467,4365.969741348825,0.7627662070927275,0.5434547246218564,0.9217396370418469,國際品牌,製程節能,26.003101751120603,0.18182717680085064,5756.388226399388,6.215057237776536,7,0.7501071941622559,0.6739369166126752,盛電子股份011 為 電子零組件 企業，現階段主要關注「製程節能」專案，同時面臨 國際品牌 帶來的減碳揭露與交期要求。
CMP_012,群紡織物流012,紡織成衣,台南,外資背景,二階供應商,第三方導入,582,1166.585219149711,0.7330501943310102,0.7536133705323342,0.574194637324226,供應鏈稽核,蒸汽系統更新,45.07569344081408,0.29271154819497375,956.7862910921059,2.368048864051791,13,0.5636049865733398,0.662228465319228,群紡織物流012 為 紡織成衣 企業，現階段主要關注「蒸汽系統更新」專案，同時面臨 供應鏈稽核 帶來的減碳揭露與交期要求。
CMP_013,永食品科技013,食品加工,桃園,家族企業,一階供應商,第三方導入,263,930.9832884182293,0.7374719673577657,0.9428141198971901,0.6504447117214054,出口客戶,高效鍋爐,44.848963633990124,0.20177238085377724,4051.1811318773107,4.538029689792873,19,0.6946396967566479,0.563552420361797,永食品科技013 為 食品加工 企業，現階段主要關注「高效鍋爐」專案，同時面臨 出口客戶 帶來的減碳揭露與交期要求。
CMP_014,永冷鏈材料014,冷鏈物流,台中,外資背景,通路供應商,銀行邀請入平台,997,1369.323606460644,0.2014781189932826,0.9158131561139696,0.5885469162949644,食品品牌,冷媒改善,241.57806518144665,0.06696065758815177,3255.732802109437,4.82346560307786,14,0.24777433840048207,0.20701055017962583,永冷鏈材料014 為 冷鏈物流 企業，現階段主要關注「冷媒改善」專案，同時面臨 食品品牌 帶來的減碳揭露與交期要求。
CMP_015,鼎紡織精密015,紡織成衣,彰化,家族企業,二階供應商,前審中,523,2034.4899095577725,0.5887548936521858,0.9191441651761288,0.8326165493677824,供應鏈稽核,蒸汽系統更新,210.22018663966463,0.12513940775060145,3116.002058226586,4.672485431780059,39,0.5659885806967844,0.3757943729496818,鼎紡織精密015 為 紡織成衣 企業，現階段主要關注「蒸汽系統更新」專案，同時面臨 供應鏈稽核 帶來的減碳揭露與交期要求。
CMP_016,宏包材科技016,塑膠與包材,高雄,上市櫃企業,通路供應商,第三方導入,1114,1085.525385045382,0.6345834409755788,0.8791692853689181,0.6223381292457798,出口法規,循環材料導入,31.30691995401865,0.22644142585180652,916.1109567822342,5.853186628464243,8,0.3786141913114076,0.20920059844210842,宏包材科技016 為 塑膠與包材 企業，現階段主要關注「循環材料導入」專案，同時面臨 出口法規 帶來的減碳揭露與交期要求。
CMP_017,台包材科技017,塑膠與包材,新北,家族企業,OEM/ODM,第三方導入,1107,580.5867690193732,0.3334704675171072,0.44370417106715576,0.41929403819921296,零售通路,空壓節能,181.77505906587908,0.17021652791296793,1898.9090745657227,4.124441679920043,31,0.7247242411662118,0.146954538447931,台包材科技017 為 塑膠與包材 企業，現階段主要關注「空壓節能」專案，同時面臨 零售通路 帶來的減碳揭露與交期要求。
CMP_018,台包材工業018,塑膠與包材,高雄,家族企業,OEM/ODM,第三方導入,1070,619.2261512235882,0.30449781218241373,0.6984519175630913,0.5997574554219154,品牌客戶,射出設備汰換,27.730657283950542,0.3189557233250574,646.9271698368879,5.955304738627865,35,0.7576980121136749,0.7273338219636875,台包材工業018 為 塑膠與包材 企業，現階段主要關注「射出設備汰換」專案，同時面臨 品牌客戶 帶來的減碳揭露與交期要求。
CMP_019,鼎冷鏈股份019,冷鏈物流,高雄,民營企業,通路供應商,已送件待補件,969,1436.1379422726927,0.6268362863163491,0.8251877762926587,0.43073132504788825,食品品牌,冷凍機汰換,171.69300145309197,0.1346097289002369,879.4753106566333,3.9805372797282272,10,0.3288447619384791,0.34785732227137933,鼎冷鏈股份019 為 冷鏈物流 企業，現階段主要關注「冷凍機汰換」專案，同時面臨 食品品牌 帶來的減碳揭露與交期要求。
CMP_020,富精工股份020,金屬加工,彰化,家族企業,OEM/ODM,貸後追蹤中,893,1311.8495004822173,0.4111605453760818,0.7683034407281266,0.5281258847427711,出口客戶,高效馬達,222.897319749538,0.24272445535682857,4681.121255857282,4.276700290754997,24,0.5850672827312773,0.29865648079312623,富精工股份020 為 金屬加工 企業，現階段主要關注「高效馬達」專案，同時面臨 出口客戶 帶來的減碳揭露與交期要求。
CMP_021,華冷鏈能源021,冷鏈物流,台中,家族企業,OEM/ODM,第三方導入,891,483.9675786574353,0.6697344656311686,0.8750386316787954,0.4292617023809263,電商平台,冷凍機汰換,48.66494285926153,0.3284864688545425,4661.057487206753,4.6058828241183125,20,0.688873496949175,0.7065367789467448,華冷鏈能源021 為 冷鏈物流 企業，現階段主要關注「冷凍機汰換」專案，同時面臨 電商平台 帶來的減碳揭露與交期要求。
CMP_022,台紡織能源022,紡織成衣,台南,民營企業,OEM/ODM,已送件待補件,875,651.5637064480231,0.177940342002809,0.725861077014714,0.45277478245567326,供應鏈稽核,屋頂光電,210.81495554545631,0.19780290036112017,3509.6744855093425,6.42867567272655,33,0.2566294966407186,0.1926042108580685,台紡織能源022 為 紡織成衣 企業，現階段主要關注「屋頂光電」專案，同時面臨 供應鏈稽核 帶來的減碳揭露與交期要求。
CMP_023,盛紡織精密023,紡織成衣,桃園,家族企業,通路供應商,貸後追蹤中,137,1436.254772978624,0.44325880664811124,0.8223360638465244,0.7527388479851556,出口客戶,屋頂光電,92.0377951500444,0.10413126161499991,925.3208909413362,6.455088302229019,25,0.42532468657754224,0.5724051393799743,盛紡織精密023 為 紡織成衣 企業，現階段主要關注「屋頂光電」專案，同時面臨 出口客戶 帶來的減碳揭露與交期要求。
CMP_024,台精工物流024,金屬加工,彰化,家族企業,出口導向供應商,貸後追蹤中,1140,1867.9193344536418,0.7398472250057017,0.6424154341159696,0.5758156840884957,汽車供應鏈,製程數位監控,171.08310157784587,0.09413806993383153,3444.835759823942,5.104920371569424,36,0.1878737189687058,0.40167713634188285,台精工物流024 為 金屬加工 企業，現階段主要關注「製程數位監控」專案，同時面臨 汽車供應鏈 帶來的減碳揭露與交期要求。
CMP_025,和紡織能源025,紡織成衣,彰化,外資背景,一階供應商,前審中,996,732.9965091675343,0.476009427074812,0.6198116175114148,0.5311564348654949,供應鏈稽核,屋頂光電,84.55756727668954,0.2943310423050627,688.71972230431,6.79516554456089,4,0.59608000995763,0.1760732507301623,和紡織能源025 為 紡織成衣 企業，現階段主要關注「屋頂光電」專案，同時面臨 供應鏈稽核 帶來的減碳揭露與交期要求。
CMP_026,台電子股份026,電子零組件,桃園,家族企業,通路供應商,第三方導入,1040,4695.463654593464,0.2974790075937406,0.4372433438516473,0.816060764415331,國際品牌,PPA 綠電採購,27.656189668527738,0.22965904974136378,4664.475958115855,2.688185231387898,4,0.7236216594707665,0.15548380289502145,台電子股份026 為 電子零組件 企業，現階段主要關注「PPA 綠電採購」專案，同時面臨 國際品牌 帶來的減碳揭露與交期要求。
CMP_027,台紡織實業027,紡織成衣,彰化,民營企業,OEM/ODM,第三方導入,968,1959.923134534224,0.7331288872655921,0.7758536782269687,0.8527881311932298,供應鏈稽核,蒸汽系統更新,169.3529019212177,0.29831670793334186,967.8183167630399,5.366953896449873,6,0.3532856008433921,0.5601409123144084,台紡織實業027 為 紡織成衣 企業，現階段主要關注「蒸汽系統更新」專案，同時面臨 供應鏈稽核 帶來的減碳揭露與交期要求。
CMP_028,鼎冷鏈物流028,冷鏈物流,桃園,家族企業,一階供應商,貸後追蹤中,908,1767.3378950828248,0.1446902582928624,0.7259484716557949,0.3754103309481002,電商平台,能源管理系統,255.10665899077716,0.18839697988837717,4564.943024512853,4.836605047381996,10,0.5463444159735278,0.2099807578923308,鼎冷鏈物流028 為 冷鏈物流 企業，現階段主要關注「能源管理系統」專案，同時面臨 電商平台 帶來的減碳揭露與交期要求。
CMP_029,和冷鏈材料029,冷鏈物流,台中,民營企業,出口導向供應商,第三方導入,1137,647.2153436492846,0.5739741169621846,0.7768633261993303,0.7395398931471853,食品品牌,車隊電動化,44.20829391844743,0.0975464907643743,1670.5921218687922,3.045404860308489,27,0.5710320301034421,0.513470052799323,和冷鏈材料029 為 冷鏈物流 企業，現階段主要關注「車隊電動化」專案，同時面臨 食品品牌 帶來的減碳揭露與交期要求。
CMP_030,盛精工材料030,金屬加工,台南,家族企業,OEM/ODM,第三方導入,213,1447.1964718249992,0.2784553918915088,0.7088668115294949,0.5402245467903427,汽車供應鏈,高效馬達,153.61411560582064,0.25656061071090397,3786.2653181909213,4.92313850521357,25,0.38237705716738757,0.6082079776312914,盛精工材料030 為 金屬加工 企業，現階段主要關注「高效馬達」專案，同時面臨 汽車供應鏈 帶來的減碳揭露與交期要求。
CMP_031,群精工科技031,金屬加工,彰化,民營企業,通路供應商,貸後追蹤中,674,1505.6262216360726,0.6133302343716669,0.5700009740146551,0.6576435467640549,出口客戶,製程數位監控,210.96825063713993,0.14804619368837635,4869.827112613792,4.068364891194086,5,0.22611785412668395,0.6420357908444672,群精工科技031 為 金屬加工 企業，現階段主要關注「製程數位監控」專案，同時面臨 出口客戶 帶來的減碳揭露與交期要求。
CMP_032,信食品實業032,食品加工,台中,上市櫃企業,出口導向供應商,前審中,125,314.47435891464454,0.37398663321126757,0.4555266115668722,0.5383360218811934,品牌商,高效鍋爐,52.635160269855525,0.22823531422462265,764.5270195471956,3.3705645498225634,18,0.7933946757766221,0.737187973001855,信食品實業032 為 食品加工 企業，現階段主要關注「高效鍋爐」專案，同時面臨 品牌商 帶來的減碳揭露與交期要求。
CMP_033,富精工物流033,金屬加工,台中,民營企業,OEM/ODM,第三方導入,934,1146.6652995638833,0.6638853403161958,0.7802978829452477,0.5827050170981898,汽車供應鏈,製程數位監控,55.64718262975074,0.29416520135406665,5737.840775350223,4.402234911353622,11,0.8138058651688143,0.2077894509126403,富精工物流033 為 金屬加工 企業，現階段主要關注「製程數位監控」專案，同時面臨 汽車供應鏈 帶來的減碳揭露與交期要求。
CMP_034,和包材科技034,塑膠與包材,桃園,外資背景,一階供應商,銀行邀請入平台,1017,1264.7543840755295,0.16564041258987172,0.8107514054047941,0.6102674163935558,出口法規,循環材料導入,72.04880981120803,0.14177661248806794,2883.929942537074,4.566803934279898,5,0.49570558454442654,0.17215150742526686,和包材科技034 為 塑膠與包材 企業，現階段主要關注「循環材料導入」專案，同時面臨 出口法規 帶來的減碳揭露與交期要求。
CMP_035,群冷鏈物流035,冷鏈物流,桃園,民營企業,出口導向供應商,第三方導入,318,1541.9208348581928,0.6228227343923365,0.7459809205819073,0.752121953210813,食品品牌,冷凍機汰換,221.8973239553607,0.1951203024044423,4476.549811707649,6.000883791158314,18,0.7621134360776638,0.484016843132928,群冷鏈物流035 為 冷鏈物流 企業，現階段主要關注「冷凍機汰換」專案，同時面臨 食品品牌 帶來的減碳揭露與交期要求。
CMP_036,和電子股份036,電子零組件,台中,家族企業,通路供應商,銀行邀請入平台,482,4466.3440642852365,0.5090299059958179,0.6741607350127924,0.41298782953764235,國際品牌,空調優化,61.94273736736146,0.06695047690360031,5385.073822643033,3.820319572587106,16,0.37682244634930306,0.49105585876579666,和電子股份036 為 電子零組件 企業，現階段主要關注「空調優化」專案，同時面臨 國際品牌 帶來的減碳揭露與交期要求。
CMP_037,華電子股份037,電子零組件,台南,外資背景,OEM/ODM,銀行邀請入平台,43,1662.3083223439878,0.676487441873092,0.7365995615722504,0.9390835685255212,ESG 採購規範,ISO 50001 導入,250.986749769598,0.27896144780668963,5038.10422685822,2.0161619843916405,23,0.46165676769751585,0.4629243574949906,華電子股份037 為 電子零組件 企業，現階段主要關注「ISO 50001 導入」專案，同時面臨 ESG 採購規範 帶來的減碳揭露與交期要求。
CMP_038,富紡織工業038,紡織成衣,彰化,家族企業,一階供應商,前審中,520,1428.958674395772,0.9073540267739322,0.5258192297476222,0.7902520984627497,出口客戶,廢熱回收,134.97643674514194,0.33595124745857935,2739.6481694276954,6.680751686998738,33,0.4434086414041983,0.612082933347183,富紡織工業038 為 紡織成衣 企業，現階段主要關注「廢熱回收」專案，同時面臨 出口客戶 帶來的減碳揭露與交期要求。
CMP_039,台電子股份039,電子零組件,新竹,家族企業,出口導向供應商,銀行邀請入平台,133,3021.762379675043,0.7576890253282939,0.9140680170041321,0.8435498543704589,ESG 採購規範,PPA 綠電採購,189.74825809636604,0.2766417911704554,5030.411454878392,5.392929929773153,18,0.2113367742868987,0.2654117932736051,台電子股份039 為 電子零組件 企業，現階段主要關注「PPA 綠電採購」專案，同時面臨 ESG 採購規範 帶來的減碳揭露與交期要求。
CMP_040,群紡織材料040,紡織成衣,高雄,上市櫃企業,出口導向供應商,第三方導入,307,1366.4816803479769,0.10369010245052049,0.6639238986909733,0.7563724396186382,國際服飾品牌,廢熱回收,223.9313767598186,0.157448798554664,4961.13151894402,3.01429571604209,13,0.5578049605652153,0.3661028420036571,群紡織材料040 為 紡織成衣 企業，現階段主要關注「廢熱回收」專案，同時面臨 國際服飾品牌 帶來的減碳揭露與交期要求。
CMP_041,富食品能源041,食品加工,彰化,家族企業,通路供應商,前審中,355,2325.4693004559235,0.2538268191903829,0.4017350706538155,0.5551561631273962,品牌商,高效鍋爐,48.52121311725844,0.2209641402944494,5786.157813143886,5.184757454651557,31,0.4311162194699481,0.687485231377044,富食品能源041 為 食品加工 企業，現階段主要關注「高效鍋爐」專案，同時面臨 品牌商 帶來的減碳揭露與交期要求。
CMP_042,盛電子材料042,電子零組件,台南,民營企業,通路供應商,第三方導入,435,2734.8913210387122,0.39961033982328953,0.3909716679971378,0.4711874226132689,半導體客戶,PPA 綠電採購,250.0062718469211,0.27054967404097635,3173.699963325121,2.9365207256038564,19,0.7540779512147169,0.2657602124660089,盛電子材料042 為 電子零組件 企業，現階段主要關注「PPA 綠電採購」專案，同時面臨 半導體客戶 帶來的減碳揭露與交期要求。
CMP_043,富電子精密043,電子零組件,新竹,家族企業,一階供應商,銀行邀請入平台,414,4754.417590672448,0.5342244853337593,0.8028139491449657,0.7044468764982597,國際品牌,製程節能,229.20701949624782,0.13930914131003194,3291.71933605028,5.67666189576342,26,0.4605672054938834,0.4152795313237699,富電子精密043 為 電子零組件 企業，現階段主要關注「製程節能」專案，同時面臨 國際品牌 帶來的減碳揭露與交期要求。
CMP_044,永紡織能源044,紡織成衣,台南,民營企業,一階供應商,第三方導入,721,2089.721392933948,0.7680035233566639,0.9005579212237315,0.8225539017376035,國際服飾品牌,屋頂光電,140.61935575352726,0.1812322980029748,285.02053811189336,6.582782420577789,40,0.2459217178433016,0.14546903784900508,永紡織能源044 為 紡織成衣 企業，現階段主要關注「屋頂光電」專案，同時面臨 國際服飾品牌 帶來的減碳揭露與交期要求。
CMP_045,台食品物流045,食品加工,台中,家族企業,出口導向供應商,第三方導入,321,338.58365008248546,0.4731966307776452,0.6648135587668385,0.5375419694171504,出口客戶,冷凍設備汰換,65.72003267357894,0.14458003925941879,2334.3994454587178,3.6496920185733988,9,0.2517250374391664,0.6549140295193444,台食品物流045 為 食品加工 企業，現階段主要關注「冷凍設備汰換」專案，同時面臨 出口客戶 帶來的減碳揭露與交期要求。
CMP_046,鼎食品精密046,食品加工,高雄,家族企業,二階供應商,前審中,164,182.9840112788177,0.5013916453359106,0.5531874382164891,0.6087962120878698,品牌商,屋頂光電,132.56653313501096,0.2513123401444676,1385.6064476507656,3.1859730070962797,13,0.7754461552570562,0.150112959705114,鼎食品精密046 為 食品加工 企業，現階段主要關注「屋頂光電」專案，同時面臨 品牌商 帶來的減碳揭露與交期要求。
CMP_047,和精工股份047,金屬加工,台中,家族企業,一階供應商,第三方導入,571,2340.4429639583977,0.22337228947712875,0.3788981522033439,0.4329232229831184,汽車供應鏈,空壓機改善,166.93657522393258,0.127658894446944,3335.8929284634714,4.587055066937081,30,0.1830344914635993,0.6490890647922674,和精工股份047 為 金屬加工 企業，現階段主要關注「空壓機改善」專案，同時面臨 汽車供應鏈 帶來的減碳揭露與交期要求。
CMP_048,華包材材料048,塑膠與包材,高雄,外資背景,通路供應商,貸後追蹤中,568,1678.268189153277,0.7338086582709329,0.8718498404922572,0.5025580902524943,品牌客戶,射出設備汰換,214.22403972592764,0.1491517529919687,4651.501347221329,4.64396316185827,17,0.3184676449442569,0.37669617814932654,華包材材料048 為 塑膠與包材 企業，現階段主要關注「射出設備汰換」專案，同時面臨 品牌客戶 帶來的減碳揭露與交期要求。
CMP_049,永電子精密049,電子零組件,台中,上市櫃企業,出口導向供應商,前審中,405,682.731126093783,0.12446451148175194,0.5613519797983804,0.3614204886904919,國際品牌,製程節能,233.0547669938354,0.22627255344796535,800.8706747907037,2.1760807718598842,29,0.2906841193229299,0.43452147498086685,永電子精密049 為 電子零組件 企業，現階段主要關注「製程節能」專案，同時面臨 國際品牌 帶來的減碳揭露與交期要求。
CMP_050,華紡織股份050,紡織成衣,彰化,民營企業,出口導向供應商,第三方導入,343,2084.0424833016987,0.11359543755599669,0.955781594977609,0.7007833004804993,國際服飾品牌,染整節水,81.93086191771471,0.07414551498416144,3480.926722855744,2.99167804329492,27,0.6047174698626252,0.6384720096424128,華紡織股份050 為 紡織成衣 企業，現階段主要關注「染整節水」專案，同時面臨 國際服飾品牌 帶來的減碳揭露與交期要求。
CMP_051,華冷鏈能源051,冷鏈物流,桃園,上市櫃企業,OEM/ODM,已送件待補件,56,1132.9277282314501,0.28965004254321886,0.8830719837213188,0.5021987039370971,電商平台,能源管理系統,153.89975985324978,0.27235822641173113,5705.145674679603,3.6640708946643477,39,0.18798072188237647,0.6135377049124346,華冷鏈能源051 為 冷鏈物流 企業，現階段主要關注「能源管理系統」專案，同時面臨 電商平台 帶來的減碳揭露與交期要求。
CMP_052,鼎電子科技052,電子零組件,桃園,家族企業,出口導向供應商,前審中,533,2849.1273285253696,0.17713900973330457,0.8926904172219923,0.5870043440243338,ESG 採購規範,空調優化,225.45080083663987,0.31552316835974076,1293.4831710332842,3.9369247961440705,11,0.649436738920211,0.664586754962697,鼎電子科技052 為 電子零組件 企業，現階段主要關注「空調優化」專案，同時面臨 ESG 採購規範 帶來的減碳揭露與交期要求。
CMP_053,華電子精密053,電子零組件,台南,上市櫃企業,出口導向供應商,第三方導入,476,2833.3954855622032,0.7082074566261827,0.7959929457582051,0.8197760780156509,ESG 採購規範,ISO 50001 導入,39.466306904378726,0.11723126278280017,4333.394088415769,1.5249565107425107,11,0.4213725954276356,0.5659737708883106,華電子精密053 為 電子零組件 企業，現階段主要關注「ISO 50001 導入」專案，同時面臨 ESG 採購規範 帶來的減碳揭露與交期要求。
CMP_054,台包材能源054,塑膠與包材,台中,民營企業,出口導向供應商,銀行邀請入平台,767,2327.922034141065,0.3616886406517261,0.7213320886279304,0.6985936242488304,品牌客戶,循環材料導入,107.41546580633596,0.1703499551260732,829.9417241099776,2.2795061029945964,11,0.6181197269719534,0.3304762076095197,台包材能源054 為 塑膠與包材 企業，現階段主要關注「循環材料導入」專案，同時面臨 品牌客戶 帶來的減碳揭露與交期要求。
CMP_055,盛食品股份055,食品加工,桃園,民營企業,一階供應商,第三方導入,1147,769.5041237678299,0.18111809418595431,0.8096377834301574,0.878621631150722,品牌商,高效鍋爐,78.56276076436089,0.0726484727570394,2834.130466666326,6.580394677232286,13,0.49712419624231574,0.18862908589836197,盛食品股份055 為 食品加工 企業，現階段主要關注「高效鍋爐」專案，同時面臨 品牌商 帶來的減碳揭露與交期要求。
CMP_056,華電子股份056,電子零組件,桃園,家族企業,出口導向供應商,貸後追蹤中,192,1536.9378236929776,0.7271389131379322,0.8847935863314177,0.890985112139863,半導體客戶,空調優化,89.59429898662806,0.21481151113804922,634.7135233953416,5.96730357213157,9,0.5747239546094778,0.45626592942736705,華電子股份056 為 電子零組件 企業，現階段主要關注「空調優化」專案，同時面臨 半導體客戶 帶來的減碳揭露與交期要求。
CMP_057,群電子精密057,電子零組件,桃園,民營企業,一階供應商,銀行邀請入平台,227,1540.951824560967,0.2314558604854516,0.8696792262548271,0.7005367160367308,ESG 採購規範,製程節能,204.22648198026917,0.11790778770392887,5465.602260541927,2.0515388221959063,12,0.24425321321587795,0.2840146829138129,群電子精密057 為 電子零組件 企業，現階段主要關注「製程節能」專案，同時面臨 ESG 採購規範 帶來的減碳揭露與交期要求。
CMP_058,永包材精密058,塑膠與包材,台中,家族企業,出口導向供應商,前審中,754,2228.478057284456,0.43912570367417525,0.624414172965917,0.49715538381392577,零售通路,射出設備汰換,75.85956894708463,0.12854302043404073,1002.373239513006,6.476102658360579,24,0.7483128503075711,0.6019624022631691,永包材精密058 為 塑膠與包材 企業，現階段主要關注「射出設備汰換」專案，同時面臨 零售通路 帶來的減碳揭露與交期要求。
CMP_059,永冷鏈科技059,冷鏈物流,高雄,民營企業,出口導向供應商,第三方導入,638,959.5030605945886,0.5343914462696484,0.6773064882820244,0.6107378508186141,電商平台,車隊電動化,55.07633503897694,0.21523663457118142,1268.1426891708045,2.7671968730836483,37,0.2561301188737352,0.6884460127301013,永冷鏈科技059 為 冷鏈物流 企業，現階段主要關注「車隊電動化」專案，同時面臨 電商平台 帶來的減碳揭露與交期要求。
